,Player,Position,Age,Height,Weight,GP
37,Alex Wennberg,C,29,74,190,81.33186336358388
38,Alexander Alexeyev,D,23,76,213,63.873538970947266
39,Alexander Barabanov,L,29,70,195,75.08224439620972
40,Alexander Edler,D,37,76,210,67.51241755485535
41,Alexander Holtz,R,21,72,195,66.57416534423828
42,Alexander Kerfoot,C,29,71,186,80.59175284206867
43,Alexander Romanov,D,23,73,215,77.17191392183304
44,Alexandre Carrier,D,26,71,174,67.27230644226074
45,Alexey Toropchenko,R,24,78,222,78.5143575668335
46,Alexis Lafrenière,L,21,73,195,82.0
47,Aliaksei Protas,C,22,78,225,74.42706871032715
48,Anders Bjork,L,27,72,190,54.433834075927734
49,Anders Lee,L,33,75,235,79.26263555884361
50,Andre Burakovsky,L,28,75,209,63.487921714782715
51,Andreas Athanasiou,C,29,74,190,82.0
52,Andreas Englund,D,27,75,189,68.25992584228516
53,Andreas Johnsson,L,28,70,195,51.82976150512695
54,Andrei Kuzmenko,L,27,71,194,82.0
55,Andrei Svechnikov,R,23,74,195,77.35155987739563
56,Andrew Agozzino,L,32,70,187,43.01093673706055
57,Andrew Cogliano,C,36,70,179,77.98128724470735
58,Andrew Copp,C,29,73,199,77.64430218935013
59,Andrew Mangiapane,L,27,70,184,81.65348774194717
60,Andrew Peeke,D,25,75,210,82.0
61,Andy Andreoff,C,32,73,208,39.72483444213867
62,Anthony Beauvillier,L,26,71,180,77.26567363739014
63,Anthony Cirelli,C,26,72,189,74.63169765472412
64,Anthony Duclair,L,28,71,197,54.0738410949707
65,Anthony Mantha,R,29,77,234,71.7566728591919
66,Anthony Richard,C,26,71,183,56.64479446411133
67,Anton Blidh,L,28,73,197,51.67832565307617
68,Anton Levtchi,L,27,72,185,50.077266693115234
69,Anton Lundell,C,21,73,185,79.35251903533936
70,Anton Stralman,D,37,71,193,34.26554870605469
71,Anze Kopitar,C,36,75,225,81.44514921307564
72,Arber Xhekaj,D,22,76,238,71.26524925231934
73,Arnaud Durandeau,L,24,72,185,55.64521408081055
74,Artem Zub,D,27,74,200,68.12261815865834
75,Artemi Panarin,L,31,72,173,75.23191618919373
76,Arthur Kaliyev,R,22,74,210,76.04791927337646
77,Artturi Lehkonen,L,28,71,179,73.75755858421326
78,Austin Czarnik,C,30,69,170,59.046791076660156
79,Austin Strand,D,26,75,215,45.24523162841797
80,Austin Wagner,L,26,73,195,52.37897872924805
81,Austin Watson,L,31,76,204,75.79208087921143
82,Auston Matthews,C,26,75,208,77.0427497625351
83,Axel Jonsson-Fjallby,L,25,73,189,71.08736991882324
84,Barclay Goodrow,C,30,74,204,80.63334633409977
85,Barrett Hayton,C,23,73,207,79.49042415618896
86,Beck Malenstyn,L,25,75,200,54.35271453857422
87,Ben Chiarot,D,32,75,232,75.9557089805603
88,Ben Harpur,D,28,78,231,61.93120574951172
89,Ben Hutton,D,30,75,201,55.666053771972656
90,Ben Meyers,C,24,71,194,69.11132621765137
91,Benoit-Olivier Groulx,C,23,74,200,54.49396896362305
92,Billy Sweezey,D,27,73,206,45.758705139160156
93,Blake Coleman,C,31,71,199,79.99239922501147
94,Blake Lizotte,C,25,69,170,74.5696861743927
95,Blake Wheeler,R,37,77,220,72.90631780028343
96,Bo Horvat,C,28,72,215,78.51969242095947
97,Bobby McMann,C,27,74,208,50.37343978881836
98,Bokondji Imama,L,27,73,221,47.047855377197266
99,Boone Jenner,C,30,74,203,70.53161907196045
100,Boris Katchouk,L,25,74,206,72.31807231903076
101,Bowen Byram,D,22,73,190,70.55472564697266
102,Brad Hunt,D,35,69,177,57.48511791229248
103,Brad Malone,C,34,74,217,36.96996307373047
104,Brad Marchand,L,35,69,176,75.81339994072914
105,Braden Schneider,D,22,75,208,82.0
106,Brady Skjei,D,29,75,210,79.05451536178589
107,Brady Tkachuk,L,24,76,221,81.25189098715782
108,Brandon Carlo,D,26,78,218,78.6095073223114
109,Brandon Duhaime,R,26,74,200,75.40701007843018
110,Brandon Hagel,L,25,74,179,80.47006996472676
111,Brandon Montour,D,29,72,194,70.38053274154663
112,Brandon Saad,L,30,73,215,73.91298341751099
113,Brandon Tanev,L,31,72,189,82.0
114,Brandt Clarke,D,20,74,185,54.76483917236328
115,Brayden McNabb,D,32,76,215,76.6799566745758
116,Brayden Pachal,D,24,74,203,50.19966506958008
117,Brayden Point,C,27,71,180,78.0415186882019
118,Brayden Schenn,C,32,73,199,77.59729942679405
119,Brendan Gallagher,R,31,69,186,56.32221031188965
120,Brendan Gaunce,C,29,75,219,43.4630241394043
121,Brendan Lemieux,L,27,73,215,62.457427978515625
122,Brendan Smith,D,34,74,200,66.58412790298462
123,Brenden Dillon,D,32,76,224,80.04702508449554
124,Brent Burns,D,38,77,230,80.07345712184906
125,Brett Howden,C,25,74,203,71.65878295898438
126,Brett Kulak,D,29,73,197,69.5300703048706
127,Brett Leason,R,24,77,218,72.72823905944824
128,Brett Pesce,D,28,75,206,74.28071224689484
129,Brett Ritchie,R,30,76,215,60.505167961120605
130,Brett Seney,L,27,69,156,55.865909576416016
131,Brian Dumoulin,D,32,76,207,78.42438713709514
132,Brock Boeser,R,26,73,208,76.00511646270752
133,Brock Faber,D,21,73,200,48.34654998779297
134,Brock McGinn,L,29,72,187,71.10345196723938
135,Brock Nelson,C,31,76,210,78.6504872739315
136,Bryan Rust,R,31,71,192,74.46666741371155
137,Buddy Robinson,R,32,78,232,36.789772033691406
138,Byron Froese,C,32,73,202,42.405052185058594
139,CJ Suess,L,29,71,190,46.07191848754883
140,Cal Clutterbuck,R,35,72,212,55.03210496902466
141,Cal Foote,D,24,77,224,54.65746935208639
142,Cale Fleury,D,24,73,204,50.63471984863281
143,Cale Makar,D,24,71,187,66.2068013548851
144,Caleb Jones,D,26,73,194,63.002983808517456
145,Calen Addison,D,23,71,173,79.0312271118164
146,Callahan Burke,C,26,70,183,51.991268157958984
147,Calle Jarnkrok,C,32,72,192,72.81953835487366
148,Calle Rosen,D,29,73,188,65.94935607910156
149,Calvin de Haan,D,32,73,195,67.47012313206992
150,Cam Fowler,D,31,74,215,76.71971547603607
151,Cam York,D,22,71,175,76.60395812988281
152,Carl Grundstrom,R,25,72,195,72.48236433664957
153,Carson Meyer,R,26,71,184,56.956268310546875
154,Carson Soucy,D,29,77,208,68.87099450826645
155,Carter Verhaeghe,C,28,74,180,74.5547251701355
156,Casey Cizikas,C,32,71,190,75.81670808792114
157,Casey Fitzgerald,D,26,71,188,56.978607177734375
158,Casey Mittelstadt,C,24,73,195,82.0
159,Chad Ruhwedel,D,33,71,191,59.3646183013916
160,Chandler Stephenson,C,29,72,209,77.85179042816162
161,Charles Hudon,L,29,70,190,49.30351257324219
162,Charlie Coyle,C,31,75,223,79.75846207141876
163,Charlie McAvoy,D,25,73,209,75.00414180755615
164,Chris Kreider,L,32,75,230,76.34358575940132
165,Chris Tanev,D,33,74,193,71.04153060913086
166,Chris Tierney,C,29,73,191,57.987375259399414
167,Chris Wagner,R,32,72,192,41.05175018310547
168,Chris Wideman,D,33,70,181,59.36205863952637
169,Christian Dvorak,C,27,73,193,74.32939100265503
170,Christian Fischer,R,26,74,212,73.2994909286499
171,Christian Wolanin,D,28,74,190,50.21438217163086
172,Claude Giroux,R,35,71,190,79.23128724470735
173,Clayton Keller,R,25,70,178,79.33746099472046
174,Cody Ceci,D,29,74,210,74.13381671905518
175,Cody Glass,C,24,75,206,82.0
176,Cole Bardreau,C,30,72,186,44.92226791381836
177,Cole Caufield,R,22,67,174,80.0426139831543
178,Cole Guttman,C,24,69,167,62.71768569946289
179,Cole Koepke,L,25,73,196,58.53581619262695
180,Cole McWard,D,22,73,192,49.512359619140625
181,Cole Perfetti,C,21,71,184,80.9989070892334
182,Cole Sillinger,C,20,73,201,77.84674596786499
183,Cole Smith,L,27,75,195,78.8077163696289
184,Colin Blackwell,C,30,69,190,70.64110247294107
185,Colin Miller,D,30,73,200,80.46044528484344
186,Colin White,C,26,73,194,79.08241844177246
187,Colton Parayko,D,30,78,228,81.17958474159241
188,Colton Sissons,C,29,73,200,77.69211900234222
189,Colton White,D,26,73,187,68.22563171386719
190,Connor Brown,R,29,72,181,48.23830032348633
191,Connor Carrick,D,29,70,198,37.996673583984375
192,Connor Clifton,D,28,71,190,67.73735742767651
193,Connor Dewar,C,24,70,183,82.0
194,Connor Mackey,D,27,74,197,58.46034240722656
