,Player,Position,Age,Height,Weight,PP ATOI,PK ATOI,EV G/60,PP G/60,PK G/60,EV A1/60,GP,EV ATOI,PP A1/60,PK A1/60,EV A2/60,PP A2/60,PK A2/60,GOALS,PRIMARY ASSISTS,SECONDARY ASSISTS,POINTS
250,Ryan Ellis,D,31.7,70,180,2.0441197400000006,1.981504310000001,0.4313791016481632,0.9239720519221968,0.1286429373896529,0.4613256228156607,67.68909999999998,18.874072840000014,2.088371679883025,0.009857812362051655,0.4432829902676246,0.0,0.11156812566536875,12.610942266233145,15.772826834899929,10.76672416401145,39.150493265144526
251,Tyson Barrie,D,31.2,71,197,2.7761462300000006,0.5841898000000006,0.38089437966403067,0.9478280439943514,0.05676445070950486,0.40205244072379764,77.9294,15.998735569999994,2.492956625221636,0.19182245940340145,0.373385543298947,0.0,0.046634972347298013,12.46735190457517,18.132827045448483,8.526064722106634,39.126243672130286
252,Drew Doughty,D,32.8,73,210,2.727226719999999,1.95986909,0.2362190690991491,1.0876448088980246,0.006819576503882899,0.45341090753321195,69.40310000000001,20.39059745000001,1.8325084322401481,0.05574986853570917,0.4792600317175861,0.0,0.013171884546916217,9.530973435962917,17.958908478822952,11.434992171813555,38.924874086599424
253,Andreas Johnsson,L,27.9,70,195,1.20081386,0.2717397300000002,0.7851730828276757,1.3009340723469394,0.4779533416650952,0.8319367918332611,70.2225,12.936815849999999,1.2709568848767752,0.24254247138578272,0.535870291201769,1.5340312997852839,0.0023997683423567203,13.868590483957982,15.028269001025784,10.0,38.896859484983764
254,Alex Newhook,C,21.7,70,190,1.5750402000000003,0.2857768900000001,0.7284101706883972,1.2594400971608872,0.41521996229881636,0.6214526586325505,76.83890000000002,12.75450000999999,1.1992620511597587,0.6827830264793358,0.4416701554996245,1.6033916691289583,0.09802158682907275,15.398647626167763,13.0,10.419264099928116,38.81791172609588
255,Andreas Athanasiou,C,28.2,74,190,1.7104495300000009,0.5347353300000002,0.9323231045945897,1.2938800444806342,0.4057223206121194,0.6921057030791865,65.48660000000002,12.797563699999998,1.0739565203141639,0.33248622440351727,0.45133597828017197,1.7970725862324586,0.0020479796986856967,15.674801515388197,12.420485899224829,10.628818668010327,38.72410608262335
256,Marcus Johansson,L,32.0,73,203,2.4082210300000026,0.60006793,0.6205001336324261,1.4517108596501302,0.19038136272243972,0.5428952221965837,69.9402,12.97912129,1.5367817601587628,0.3763270054934308,0.3020719950266926,1.6459721833381618,0.011982629814897396,14.901898125390643,14.343710951874366,9.436283467717756,38.681892544982766
257,Nicholas Paul,L,27.5,75,223,0.9748816499999998,1.6260001900000003,0.7424942679100683,1.549497556172922,0.5332286463018984,0.516263964294638,78.46220000000001,13.603383470000008,0.8508960480090676,0.16906858467084415,0.41238144374791247,1.3495021635341256,0.013771204229337527,17.219346242667132,11.899409276915387,9.538004825377753,38.656760344960276
258,Nils Hoglander,L,21.8,69,185,1.0889387799999999,0.3914147600000002,0.9591338706882585,1.7879273849892063,0.46057421545473726,0.649290671310202,73.3485,12.332988989999999,1.2916187883869064,0.8093952654422207,0.42416027588615796,1.4669235306981403,0.10285210496780016,17.0611135147768,13.05978562913418,8.521914131677393,38.642813275588374
259,Patric Hornqvist,R,35.7,71,189,2.126732760000001,0.08101315,0.8256686741686983,1.7473689052271806,0.5004869112081802,0.6782792905740564,68.74990000000001,10.446746220000005,1.3162839908996866,0.3163562629102253,0.48599376483469886,1.9332669049348479,0.004661595757999782,15.483413893380925,11.625169381460509,11.471236591068553,38.57981986590999
260,Connor McMichael,C,21.7,72,180,0.7638248900000006,0.4133451100000003,1.0014677319694636,1.252363053026096,0.5381906424615556,0.7404231411987628,76.8478,11.424127630000001,0.974906456180281,0.19951873845700907,0.4188301942296804,1.4236729082500286,0.01728624334070963,17.98725617936447,12.0,8.566860194151777,38.554116373516244
261,Bobby Brink,R,21.2,68,166,1.6159407,0.1280166199999999,0.8566150746889727,1.1433063087606685,0.0,0.705703007968331,68.4135,12.655182130000005,1.385586042945409,0.0,0.4334147829105912,1.3585491129061327,0.0,15.037867427887612,13.978998984343885,9.530844110958729,38.547710523190226
262,Rasmus Andersson,D,25.9,73,202,2.6640776999999987,2.141164550000002,0.3164719118514868,0.48583999635738645,0.26832803133396393,0.49573892033809863,77.01869999999997,18.550273290000018,2.272469505003522,0.19124752513448928,0.31541465717397227,0.0,0.047603987765065504,9.93475818272411,20.0,8.497455957473457,38.432214140197566
