,Player,Position,Age,Height,Weight,GP
941,Zach Aston-Reese,C,29.1,73,205,69.8239
942,Zach Bogosian,D,33.2,74,222,
943,Zach Hyman,L,31.3,73,211,72.07670000000003
944,Zach Parise,L,39.2,71,195,72.25800000000002
945,Zach Sanford,L,28.9,76,206,69.8616
946,Zach Werenski,D,26.2,74,213,
947,Zach Whitecloud,D,26.8,74,207,
948,Zack Kassian,R,32.7,75,211,68.86420000000003
949,Zack MacEwen,C,27.2,75,205,70.7887
950,Zemgus Girgensons,L,29.7,74,200,74.26640000000003
