,Player,Position,Age,Height,Weight,PP ATOI,PK ATOI,EV G/60,PP G/60,PK G/60,EV A1/60,GP,EV ATOI,PP A1/60,PK A1/60,EV A2/60
358,Isaac Ratcliffe,L,23.6,78,200,0.16744654214927795,0.142419304878535,0.112163331516443,0.1790699659232275,0.0813137075032764,0.0454095645854085,3.231349406981548,0.5546500054887308,0.13092329089841725,0.1775170662501708,0.0341059500908727
359,Isaak Phillips,D,21.0,75,205,0.1593854115475248,0.1733381561639726,0.0372852204409133,0.155616958138975,0.0331458682510143,0.03138948422847374,2.5698997178878393,0.496346155306561,0.1652888096124308,0.08084138565775326,0.028706252933874868
360,Isac Lundestrom,C,22.9,72,193,0.18648519978926914,0.1929123115032755,0.1508669623851354,0.2014133652702829,0.190409852022394,0.0636259272272076,4.254603458608099,0.3498339467409223,0.14658524923930644,0.08315692100167245,0.026658034139530933
361,Ivan Barbashev,C,26.8,73,195,0.2976983051764991,0.1356066418991944,0.0550616109639591,0.1656097659135549,0.4336265804390884,0.0258892238014411,1.9755679563102864,0.5811891398621094,0.12627233441565902,0.20841589732246021,0.07010511912533861
362,Ivan Provorov,D,25.7,73,201,0.5087502532944417,0.0753377038456905,0.0336618747813887,0.3238470044622712,0.0216830417480827,0.01738592517033256,1.4171873941014292,0.16518490243078562,0.4987214832195746,0.05745366493115921,0.017522489729541745
363,J.J. Moser,D,22.3,73,173,0.4843842489755917,0.5397516847985179,0.0388225273042482,0.1460805907849126,0.0379794961700059,0.03838759462587358,5.644849633958374,0.6390325317276413,0.1755915824566347,0.04204785910893799,0.02628691879866297
364,J.T. Compher,L,27.5,72,190,0.5112938809364055,0.1805171763369364,0.0842103595858611,0.1362489095103088,0.1488166941813263,0.0922364889317585,3.9301812222847947,1.0862264845807688,0.18409093802020385,0.09235025164635935,0.021313295130917596
365,J.T. Miller,C,29.6,73,218,0.2911692802036272,0.0826982411270633,0.0449246075630929,0.1237304502608545,0.4870512889591166,0.0745522163751419,1.9706605466188225,0.14702972901787717,0.2768552283612515,0.5320084064693061,0.055170942248847034
366,JJ Peterka,R,20.7,72,189,0.2087617984239633,0.0692370101381161,0.0515437054221016,0.1971466487662916,,0.0394021401409669,4.2969912310825125,0.34999771666473173,0.14185346582695815,,0.03704555322544935
367,Jaccob Slavin,D,28.4,75,207,0.6059482118135838,0.1168709280402954,0.026164675638691,0.1123614727139204,0.0201204945329159,0.07532731323721763,0.8645230129961845,0.3338047318850142,0.19674460394671558,0.045570571019020435,0.03909465915780701
368,Jack Ahcan,D,25.4,68,180,0.2052056000284536,0.2789049328946869,0.0198186786665609,0.2330820694364377,0.0198567524702706,0.02530303854474992,2.8352912707515605,0.5398163964419399,0.16852019594223722,0.07391157653982161,0.03275016968795738
369,Jack Drury,C,22.7,71,174,0.2628188536387946,0.2531093713983883,0.0891170510175376,,0.1338272696530553,0.0507296779053997,4.862498826735078,0.3316120503174713,,0.13224248568810393,0.03212930470432873
370,Jack Eichel,C,25.9,74,207,0.13464599925551857,0.0762104300741906,0.0871840795865501,0.5131624335074424,0.1589155333099126,0.0543606252520139,4.367996813185652,0.2779094915074069,0.32117235718129383,0.06374746112055836,0.03282103319724103
