,Player,Year,Position,Age,Height,Weight,Y1 GP,Y2 GP,Y3 GP,Y4 GP,Y5 GP,Y1 EV ATOI,Y2 EV ATOI,Y3 EV ATOI,Y4 EV ATOI,Y5 EV ATOI,Y5 dEV ATOI
Alex Ovechkin 2016,Alex Ovechkin,2016,L,30.038,75,238,78.0,82.0,78.0,81,79,16.1205,16.2139,15.4387,16.4784,16.0112,-0.05167499999999947
Alex Ovechkin 2017,Alex Ovechkin,2017,L,31.04,75,238,82.0,78.0,81.0,79,82,16.2139,15.4387,16.4784,16.0112,14.623,-1.4125500000000013
Alex Ovechkin 2018,Alex Ovechkin,2018,L,32.039,75,238,78.0,81.0,79.0,82,82,15.4387,16.4784,16.0112,14.623,15.8959,0.25807499999999983
Alex Ovechkin 2019,Alex Ovechkin,2019,L,33.039,75,238,81.0,79.0,82.0,82,81,16.4784,16.0112,14.623,15.8959,16.4848,0.7326750000000004
Alex Ovechkin 2020,Alex Ovechkin,2020,L,34.038,75,238,79.0,82.0,82.0,81,80,16.0112,14.623,15.8959,16.4848,15.6512,-0.10252499999999998
Alex Ovechkin 2021,Alex Ovechkin,2021,L,35.04,75,238,82.0,82.0,81.0,80,65,14.623,15.8959,16.4848,15.6512,15.3107,-0.3530249999999988
Alex Ovechkin 2022,Alex Ovechkin,2022,L,36.039,75,238,82.0,81.0,80.0,65,77,15.8959,16.4848,15.6512,15.3107,15.8015,-0.03414999999999857
Alex Ovechkin 2023,Alex Ovechkin,2023,L,37.039,75,238,81.0,80.0,65.0,77,73,16.4848,15.6512,15.3107,15.8015,15.4635,-0.34854999999999947
Evgeni Malkin 2009,Evgeni Malkin,2009,C,22.172,75,195,,,,82,82,,,,15.5142,15.8852,0.37099999999999866
Evgeni Malkin 2010,Evgeni Malkin,2010,C,23.171,75,195,,,82.0,82,67,,,15.5142,15.8852,15.6303,-0.0693999999999999
Evgeni Malkin 2011,Evgeni Malkin,2011,C,24.17,75,195,,82.0,82.0,67,43,,15.5142,15.8852,15.6303,14.4151,-1.2614666666666654
Evgeni Malkin 2012,Evgeni Malkin,2012,C,25.17,75,195,82.0,82.0,67.0,43,75,15.5142,15.8852,15.6303,14.4151,16.5369,1.175699999999999
Evgeni Malkin 2013,Evgeni Malkin,2013,C,26.172,75,195,82.0,67.0,43.0,75,52,15.8852,15.6303,14.4151,16.5369,15.1645,-0.45237499999999997
Evgeni Malkin 2014,Evgeni Malkin,2014,C,27.171,75,195,67.0,43.0,75.0,52,60,15.6303,14.4151,16.5369,15.1645,15.4531,0.016399999999999082
Evgeni Malkin 2015,Evgeni Malkin,2015,C,28.171,75,195,43.0,75.0,52.0,60,69,14.4151,16.5369,15.1645,15.4531,15.2365,-0.15590000000000082
Evgeni Malkin 2016,Evgeni Malkin,2016,C,29.17,75,195,75.0,52.0,60.0,69,57,16.5369,15.1645,15.4531,15.2365,15.2871,-0.310649999999999
Evgeni Malkin 2017,Evgeni Malkin,2017,C,30.172,75,195,52.0,60.0,69.0,57,62,15.1645,15.4531,15.2365,15.2871,14.8938,-0.39149999999999885
Evgeni Malkin 2018,Evgeni Malkin,2018,C,31.171,75,195,60.0,69.0,57.0,62,78,15.4531,15.2365,15.2871,14.8938,15.2494,0.031774999999999665
Evgeni Malkin 2019,Evgeni Malkin,2019,C,32.171,75,195,69.0,57.0,62.0,78,68,15.2365,15.2871,14.8938,15.2494,15.3181,0.15139999999999887
Evgeni Malkin 2020,Evgeni Malkin,2020,C,33.17,75,195,57.0,62.0,78.0,68,64,15.2871,14.8938,15.2494,15.3181,15.7815,0.5943999999999985
Evgeni Malkin 2021,Evgeni Malkin,2021,C,34.172,75,195,62.0,78.0,68.0,64,48,14.8938,15.2494,15.3181,15.7815,14.5763,-0.7344000000000008
Evgeni Malkin 2022,Evgeni Malkin,2022,C,35.171,75,195,78.0,68.0,64.0,48,41,15.2494,15.3181,15.7815,14.5763,14.5362,-0.6951250000000009
Evgeni Malkin 2023,Evgeni Malkin,2023,C,36.171,75,195,68.0,64.0,48.0,41,82,15.3181,15.7815,14.5763,14.5362,14.4902,-0.5628250000000001
Blake Wheeler 2010,Blake Wheeler,2010,R,23.086,77,220,,,,81,82,,,,11.5702,12.5159,0.9457000000000004
Blake Wheeler 2011,Blake Wheeler,2011,R,24.086,77,220,,,81.0,82,81,,,11.5702,12.5159,13.5628,1.5197499999999984
Blake Wheeler 2012,Blake Wheeler,2012,R,25.085,77,220,,81.0,82.0,81,80,,11.5702,12.5159,13.5628,16.2267,3.6770666666666685
Blake Wheeler 2013,Blake Wheeler,2013,R,26.087,77,220,81.0,82.0,81.0,80,82,11.5702,12.5159,13.5628,16.2267,15.8281,2.3591999999999995
Blake Wheeler 2014,Blake Wheeler,2014,R,27.086,77,220,82.0,81.0,80.0,82,82,12.5159,13.5628,16.2267,15.8281,15.1829,0.6495250000000006
Blake Wheeler 2015,Blake Wheeler,2015,R,28.086,77,220,81.0,80.0,82.0,82,79,13.5628,16.2267,15.8281,15.1829,14.6479,-0.552225
Blake Wheeler 2016,Blake Wheeler,2016,R,29.085,77,220,80.0,82.0,82.0,79,82,16.2267,15.8281,15.1829,14.6479,15.3067,-0.16469999999999985
Blake Wheeler 2017,Blake Wheeler,2017,R,30.087,77,220,82.0,82.0,79.0,82,82,15.8281,15.1829,14.6479,15.3067,15.8053,0.5639000000000021
Blake Wheeler 2018,Blake Wheeler,2018,R,31.086,77,220,82.0,79.0,82.0,82,81,15.1829,14.6479,15.3067,15.8053,15.8311,0.5953999999999997
Blake Wheeler 2019,Blake Wheeler,2019,R,32.086,77,220,79.0,82.0,82.0,81,82,14.6479,15.3067,15.8053,15.8311,15.9817,0.5839499999999997
Blake Wheeler 2020,Blake Wheeler,2020,R,33.085,77,220,82.0,82.0,81.0,82,83,15.3067,15.8053,15.8311,15.9817,15.3254,-0.4057999999999993
Blake Wheeler 2021,Blake Wheeler,2021,R,34.087,77,220,82.0,81.0,82.0,83,73,15.8053,15.8311,15.9817,15.3254,15.208,-0.5278749999999999
Blake Wheeler 2022,Blake Wheeler,2022,R,35.087,77,220,81.0,82.0,83.0,73,65,15.8311,15.9817,15.3254,15.208,16.0431,0.45655
Blake Wheeler 2023,Blake Wheeler,2023,R,36.086,77,220,82.0,83.0,73.0,65,72,15.9817,15.3254,15.208,16.0431,13.8637,-1.7758500000000002
David Krejci 2009,David Krejci,2009,C,22.429,72,192,,,,56,82,,,,12.4574,12.686,0.22860000000000014
David Krejci 2010,David Krejci,2010,C,23.428,72,192,,,56.0,82,79,,,12.4574,12.686,14.3205,1.7487999999999992
David Krejci 2011,David Krejci,2011,C,24.428,72,192,,56.0,82.0,79,75,,12.4574,12.686,14.3205,14.9222,1.7675666666666672
David Krejci 2012,David Krejci,2012,C,25.427,72,192,56.0,82.0,79.0,75,79,12.4574,12.686,14.3205,14.9222,15.2314,1.634875000000001
David Krejci 2013,David Krejci,2013,C,26.429,72,192,82.0,79.0,75.0,79,80,12.686,14.3205,14.9222,15.2314,15.9656,1.6755750000000003
