,Player,Year,Position,Age,Height,Weight,Y1 GP,Y2 GP,Y3 GP,Y4 GP,Y5 GP,Y1 PP ATOI,Y2 PP ATOI,Y3 PP ATOI,Y4 PP ATOI,Y5 PP ATOI,Y1 PP G/60,Y2 PP G/60,Y3 PP G/60,Y4 PP G/60,Y5 PP G/60,Y5 dPP G/60,Y1 PP ixG/60,Y2 PP ixG/60,Y3 PP ixG/60,Y4 PP ixG/60,Y5 PP ixG/60,Y1 EV G/60,Y2 EV G/60,Y3 EV G/60,Y4 EV G/60,Y5 EV G/60,Y1 EV ixG/60,Y2 EV ixG/60,Y3 EV ixG/60,Y4 EV ixG/60,Y5 EV ixG/60
Kevin Fiala 2021,Kevin Fiala,2021,L,24.195,70,204,54.0,80.0,83.0,75,73,0.8287,2.2908,2.2187,2.3898,3.0833,0.0,1.3096,0.6516,3.5306,2.3351,0.9621500000000001,0.6729,1.593,1.4005,1.866,2.2546,0.9733,1.1088,0.5932,1.0232,1.2543,0.8852,1.004,0.8343,0.7846,1.0332
Kevin Fiala 2022,Kevin Fiala,2022,L,25.194,70,204,80.0,83.0,75.0,73,82,2.2908,2.2187,2.3898,3.0833,2.6909,1.3096,0.6516,3.5306,2.3351,1.3596,-0.5971250000000001,1.593,1.4005,1.866,2.2546,1.513,1.1088,0.5932,1.0232,1.2543,1.4113,1.004,0.8343,0.7846,1.0332,1.1029
Kevin Fiala 2023,Kevin Fiala,2023,L,26.194,70,204,83.0,75.0,73.0,82,69,2.2187,2.3898,3.0833,2.6909,3.0041,0.6516,3.5306,2.3351,1.3596,2.0262,0.056974999999999776,1.4005,1.866,2.2546,1.513,2.4853,0.5932,1.0232,1.2543,1.4113,0.9554,0.8343,0.7846,1.0332,1.1029,1.2064
Jakub Vrana 2022,Jakub Vrana,2022,L,25.591,72,190,73.0,82.0,81.0,73,26,0.6708,1.14,1.9249,2.227,2.366,1.2253,0.6418,0.4518,0.0,4.8767,4.296975,2.4506,1.5276,2.5463,1.8704,2.8374,0.8351,1.3052,1.6255,1.7926,1.4692,1.5747,1.3423,1.6524,1.2491,1.2749
Jakub Vrana 2023,Jakub Vrana,2023,L,26.591,72,190,82.0,81.0,73.0,26,25,1.14,1.9249,2.227,2.366,2.1927,0.6418,0.4518,0.0,4.8767,4.3782,2.8856249999999997,1.5276,2.5463,1.8704,2.8374,4.0526,1.3052,1.6255,1.7926,1.4692,1.3595,1.3423,1.6524,1.2491,1.2749,1.4959
Dylan Larkin 2019,Dylan Larkin,2019,C,22.172,73,198,,80.0,80.0,82,76,,2.0479,1.8794,2.1644,2.4399,,1.4649,1.9953,0.3381,2.265,0.9989000000000001,,1.86,1.7158,1.2955,2.2108,,0.9897,0.5916,0.6068,1.0037,,1.0271,0.8082,0.9489,1.1485
Dylan Larkin 2020,Dylan Larkin,2020,C,23.171,73,198,80.0,80.0,82.0,76,83,2.0479,1.8794,2.1644,2.4399,3.2465,1.4649,1.9953,0.3381,2.265,1.3015,-0.21432499999999988,1.86,1.7158,1.2955,2.2108,2.1032,0.9897,0.5916,0.6068,1.0037,0.6864,1.0271,0.8082,0.9489,1.1485,0.8508
Dylan Larkin 2021,Dylan Larkin,2021,C,24.173,73,198,80.0,82.0,76.0,83,64,1.8794,2.1644,2.4399,3.2465,2.7856,1.9953,0.3381,2.265,1.3015,0.4895,-0.9854750000000001,1.7158,1.2955,2.2108,2.1032,1.7359,0.5916,0.6068,1.0037,0.6864,0.6331,0.8082,0.9489,1.1485,0.8508,0.9673
Dylan Larkin 2022,Dylan Larkin,2022,C,25.172,73,198,82.0,76.0,83.0,64,71,2.1644,2.4399,3.2465,2.7856,2.8669,0.3381,2.265,1.3015,0.4895,1.7686,0.670075,1.2955,2.2108,2.1032,1.7359,1.9911,0.6068,1.0037,0.6864,0.6331,1.3004,0.9489,1.1485,0.8508,0.9673,1.0533
Dylan Larkin 2023,Dylan Larkin,2023,C,26.172,73,198,76.0,83.0,64.0,71,80,2.4399,3.2465,2.7856,2.8669,3.4665,2.265,1.3015,0.4895,1.7686,3.4617,2.00555,2.2108,2.1032,1.7359,1.9911,3.1814,1.0037,0.6864,0.6331,1.3004,0.7906,1.1485,0.8508,0.9673,1.0533,1.0476
Alex Tuch 2021,Alex Tuch,2021,R,24.395,76,219,6.0,78.0,74.0,49,80,,2.3449,2.4797,1.7595,2.0297,,1.3122,0.9809,2.4357,1.0749,-0.5013666666666667,,2.745,1.9824,2.4705,1.4157,0.0,0.6579,0.9679,0.5641,1.2471,0.923,0.9344,0.9554,0.8748,1.2548
Alex Tuch 2022,Alex Tuch,2022,R,25.394,76,219,78.0,74.0,49.0,80,50,2.3449,2.4797,1.7595,2.0297,2.8683,1.3122,0.9809,2.4357,1.0749,0.8367,-0.614225,2.745,1.9824,2.4705,1.4157,1.4203,0.6579,0.9679,0.5641,1.2471,0.7698,0.9344,0.9554,0.8748,1.2548,1.1169
Alex Tuch 2023,Alex Tuch,2023,R,26.394,76,219,74.0,49.0,80.0,50,74,2.4797,1.7595,2.0297,2.8683,3.3779,0.9809,2.4357,1.0749,0.8367,1.9203,0.5882499999999999,1.9824,2.4705,1.4157,1.4203,1.4363,0.9679,0.5641,1.2471,0.7698,1.5154,0.9554,0.8748,1.2548,1.1169,1.2356
Nick Schmaltz 2020,Nick Schmaltz,2020,C,23.604,72,181,,61.0,78.0,40,82,,1.0574,2.6712,3.0721,2.269,,0.0,1.1519,2.4413,0.7555,-0.44223333333333337,,0.6056,1.3271,1.4336,1.1912,,0.4843,0.9183,0.2091,0.5838,,0.5894,0.5951,0.5726,0.5978
Nick Schmaltz 2021,Nick Schmaltz,2021,C,24.606,72,181,61.0,78.0,40.0,82,76,1.0574,2.6712,3.0721,2.269,2.75,0.0,1.1519,2.4413,0.7555,1.2587,0.17152499999999993,0.6056,1.3271,1.4336,1.1912,1.6229,0.4843,0.9183,0.2091,0.5838,0.5669,0.5894,0.5951,0.5726,0.5978,0.8313
Nick Schmaltz 2022,Nick Schmaltz,2022,C,25.605,72,181,78.0,40.0,82.0,76,63,2.6712,3.0721,2.269,2.75,2.4378,1.1519,2.4413,0.7555,1.2587,1.5627,0.16084999999999994,1.3271,1.4336,1.1912,1.6229,1.4512,0.9183,0.2091,0.5838,0.5669,1.1834,0.5951,0.5726,0.5978,0.8313,0.9669
Nick Schmaltz 2023,Nick Schmaltz,2023,C,26.604,72,181,40.0,82.0,76.0,63,63,3.0721,2.269,2.75,2.4378,2.977,2.4413,0.7555,1.2587,1.5627,1.9195,0.41494999999999993,1.4336,1.1912,1.6229,1.4512,2.2543,0.2091,0.5838,0.5669,1.1834,0.9485,0.5726,0.5978,0.8313,0.9669,0.6992
Robby Fabbri 2023,Robby Fabbri,2023,C,26.692,71,185,32.0,71.0,43.0,56,28,0.9276,2.5459,2.365,2.767,2.7321,0.0,2.3181,0.0,2.3233,2.3529,1.19255,1.2528,1.2212,0.6604,1.9919,1.5555,0.3204,0.6524,1.3549,0.8139,0.6488,0.7267,0.6981,0.8616,1.0253,0.7741
Kasperi Kapanen 2022,Kasperi Kapanen,2022,R,25.192,73,194,38.0,78.0,81.0,58,79,0.0469,0.7936,1.278,1.5396,1.6215,0.0,0.9693,0.0,0.9743,0.0,-0.4859,0.0,1.1718,1.0721,0.6881,1.3552,0.9372,0.9202,0.7466,1.0795,0.6493,1.0503,1.1206,0.8077,0.6745,0.724
Kasperi Kapanen 2023,Kasperi Kapanen,2023,R,26.191,73,194,78.0,81.0,58.0,79,66,0.7936,1.278,1.5396,1.6215,1.4169,0.9693,0.0,0.9743,0.0,1.9248,1.4389,1.1718,1.0721,0.6881,1.3552,1.3856,0.9202,0.7466,1.0795,0.6493,0.8671,1.1206,0.8077,0.6745,0.724,0.8127
Jared McCann 2022,Jared McCann,2022,L,25.337,73,191,68.0,78.0,77.0,62,74,0.6733,0.8175,1.6556,1.9729,2.611,1.3105,0.9409,1.0982,4.9509,2.4843,0.4091750000000003,2.4782,0.9958,1.5433,3.4111,4.0351,0.5873,0.8596,0.8388,0.8099,1.101,1.1462,1.1046,1.2127,1.3147,1.3626
Jared McCann 2023,Jared McCann,2023,L,26.336,73,191,78.0,77.0,62.0,74,79,0.8175,1.6556,1.9729,2.611,2.6709,0.9409,1.0982,4.9509,2.4843,1.9905,-0.37807499999999994,0.9958,1.5433,3.4111,4.0351,2.3877,0.8596,0.8388,0.8099,1.101,1.7983,1.1046,1.2127,1.3147,1.3626,1.2583
David Pastrnak 2020,David Pastrnak,2020,R,23.352,73,195,51.0,75.0,82.0,66,82,0.468,2.6511,3.0972,3.3601,3.7776,0.0,3.0176,3.0713,4.5994,4.538,1.8659250000000003,2.4438,3.3506,3.4916,3.7644,3.2914,1.2229,1.2536,1.0853,1.244,1.5971,1.0415,1.5662,1.1419,1.2372,1.4131
David Pastrnak 2021,David Pastrnak,2021,R,24.354,73,195,75.0,82.0,66.0,82,70,2.6511,3.0972,3.3601,3.7776,3.4785,3.0176,3.0713,4.5994,4.538,2.1561,-1.6504750000000001,3.3506,3.4916,3.7644,3.2914,2.2542,1.2536,1.0853,1.244,1.5971,1.1623,1.5662,1.1419,1.2372,1.4131,1.2824
David Pastrnak 2022,David Pastrnak,2022,R,25.353,73,195,82.0,66.0,82.0,70,72,3.0972,3.3601,3.7776,3.4785,3.5523,3.0713,4.5994,4.538,2.1561,3.5188,-0.07240000000000002,3.4916,3.7644,3.2914,2.2542,3.5918,1.0853,1.244,1.5971,1.1623,1.3946,1.1419,1.2372,1.4131,1.2824,1.5853
David Pastrnak 2023,David Pastrnak,2023,R,26.353,73,195,66.0,82.0,70.0,72,82,3.3601,3.7776,3.4785,3.5523,3.8177,4.5994,4.538,2.1561,3.5188,3.4499,-0.25317500000000015,3.7644,3.2914,2.2542,3.5918,3.8544,1.244,1.5971,1.1623,1.3946,2.0056,1.2372,1.4131,1.2824,1.5853,1.9072
Adrian Kempe 2021,Adrian Kempe,2021,"C, R",24.05,74,200,25.0,81.0,81.0,81,82,0.8033,1.1107,1.3547,2.4995,2.8815,0.0,0.6669,0.0,0.6958,1.4873,1.146625,1.2968,1.7658,1.2182,2.0233,2.2056,0.4444,0.9156,0.7058,0.4853,0.7601,0.6364,0.7966,0.6842,0.9327,0.8736
Adrian Kempe 2022,Adrian Kempe,2022,"C, R",25.049,74,200,81.0,81.0,81.0,82,78,1.1107,1.3547,2.4995,2.8815,2.9577,0.6669,0.0,0.6958,1.4873,1.5605,0.848,1.7658,1.2182,2.0233,2.2056,2.4007,0.9156,0.7058,0.4853,0.7601,1.4149,0.7966,0.6842,0.9327,0.8736,1.5754
Adrian Kempe 2023,Adrian Kempe,2023,"C, R",26.049,74,200,81.0,81.0,82.0,78,82,1.3547,2.4995,2.8815,2.9577,2.9203,0.0,0.6958,1.4873,1.5605,2.7561,1.8202,1.2182,2.0233,2.2056,2.4007,2.6209,0.7058,0.4853,0.7601,1.4149,1.3758,0.6842,0.9327,0.8736,1.5754,1.2016
Ryan Donato 2022,Ryan Donato,2022,C,25.479,72,190,12.0,56.0,73.0,73,74,2.4583,2.0711,0.7473,1.7173,1.7966,4.0678,1.5519,0.0,1.3975,0.4513,-1.303,2.527,1.4121,1.6578,2.5651,2.6847,1.2257,0.6456,1.3844,0.4431,1.021,0.5115,0.7622,0.8349,0.8654,0.781
Christian Dvorak 2023,Christian Dvorak,2023,C,26.662,73,193,20.0,82.0,82.0,56,64,1.4133,2.759,2.8423,2.4491,1.8451,2.1226,1.864,3.0157,0.4375,0.0,-1.85995,1.6943,1.7713,1.5868,1.1972,2.5831,0.2321,0.7549,0.6298,0.811,0.6639,0.686,0.7413,0.7466,0.6319,0.5453
Brayden Point 2020,Brayden Point,2020,C,23.552,71,180,,68.0,82.0,79,77,,2.5002,2.312,3.3576,3.2318,,1.7645,1.5824,4.524,2.2504,-0.3732333333333333,,1.9389,2.1814,2.2006,2.0391,,0.798,1.1472,1.0319,0.9983,,0.7681,1.2328,1.2254,0.9693
Brayden Point 2021,Brayden Point,2021,C,24.554,71,180,68.0,82.0,79.0,77,82,2.5002,2.312,3.3576,3.2318,3.3464,1.7645,1.5824,4.524,2.2504,1.921,-0.6093249999999999,1.9389,2.1814,2.2006,2.0391,1.9137,0.798,1.1472,1.0319,0.9983,1.22,0.7681,1.2328,1.2254,0.9693,1.0332
Brayden Point 2022,Brayden Point,2022,C,25.553,71,180,82.0,79.0,77.0,82,66,2.312,3.3576,3.2318,3.3464,3.5457,1.5824,4.524,2.2504,1.921,2.5639,-0.005549999999999944,2.1814,2.2006,2.0391,1.9137,3.0519,1.1472,1.0319,0.9983,1.22,1.0342,1.2328,1.2254,0.9693,1.0332,1.1208
Brayden Point 2023,Brayden Point,2023,C,26.552,71,180,79.0,77.0,82.0,66,82,3.3576,3.2318,3.3464,3.5457,3.8033,4.524,2.2504,1.921,2.5639,3.8478,1.032975,2.2006,2.0391,1.9137,3.0519,3.3031,1.0319,0.9983,1.22,1.0342,1.4346,1.2254,0.9693,1.0332,1.1208,1.4078
Viktor Arvidsson 2020,Viktor Arvidsson,2020,"L, R",26.481,70,185,56.0,80.0,78.0,58,67,0.336,2.0129,2.4996,2.9129,2.4804,3.1887,1.4904,0.9232,1.0654,1.6975,0.03057500000000002,1.2746,1.1313,1.5963,1.1222,1.8338,0.6259,1.171,1.2712,2.0063,0.8846,0.7514,0.8875,0.9838,0.9982,0.6927
Viktor Arvidsson 2021,Viktor Arvidsson,2021,"L, R",27.483,70,185,80.0,78.0,58.0,67,71,2.0129,2.4996,2.9129,2.4804,2.217,1.4904,0.9232,1.0654,1.6975,1.1046,-0.18952499999999994,1.1313,1.5963,1.1222,1.8338,1.1723,1.171,1.2712,2.0063,0.8846,0.5986,0.8875,0.9838,0.9982,0.6927,0.7894
Viktor Arvidsson 2022,Viktor Arvidsson,2022,"L, R",28.483,70,185,78.0,58.0,67.0,71,66,2.4996,2.9129,2.4804,2.217,2.6371,0.9232,1.0654,1.6975,1.1046,1.3789,0.18122499999999997,1.5963,1.1222,1.8338,1.1723,2.0671,1.2712,2.0063,0.8846,0.5986,1.0173,0.9838,0.9982,0.6927,0.7894,1.0693
Viktor Arvidsson 2023,Viktor Arvidsson,2023,"L, R",29.482,70,185,58.0,67.0,71.0,66,77,2.9129,2.4804,2.217,2.6371,2.2587,1.0654,1.6975,1.1046,1.3789,3.4499,2.1383,1.1222,1.8338,1.1723,2.0671,2.1836,2.0063,0.8846,0.5986,1.0173,0.7903,0.9982,0.6927,0.7894,1.0693,0.8815
Danton Heinen 2021,Danton Heinen,2021,L,25.244,73,188,8.0,77.0,77.0,79,62,1.7708,2.0262,1.3714,2.206,0.926,0.0,0.7691,0.5682,1.2179,1.5069,0.8680999999999999,0.2483,0.977,1.5711,1.3248,1.3692,0.0,0.7968,0.6248,0.5174,0.669,0.2833,0.6144,0.5568,0.5474,0.6754
Danton Heinen 2022,Danton Heinen,2022,L,26.243,73,188,77.0,77.0,79.0,62,76,2.0262,1.3714,2.206,0.926,1.1772,0.7691,0.5682,1.2179,1.5069,2.0119,0.9963749999999998,0.977,1.5711,1.3248,1.3692,0.6684,0.7968,0.6248,0.5174,0.669,1.029,0.6144,0.5568,0.5474,0.6754,0.945
Kevin Labanc 2020,Kevin Labanc,2020,R,23.804,71,185,,55.0,77.0,82,82,,1.1418,2.2353,2.3291,2.4162,,0.0,1.3944,0.6283,1.0642,0.3899666666666667,,1.0267,1.117,0.923,1.3885,,0.7069,0.451,0.9398,0.6955,,0.6011,0.6728,0.6764,0.8191
Kevin Labanc 2021,Kevin Labanc,2021,R,24.806,71,185,55.0,77.0,82.0,82,80,1.1418,2.2353,2.3291,2.4162,2.1545,0.0,1.3944,0.6283,1.0642,0.0,-0.771725,1.0267,1.117,0.923,1.3885,1.0732,0.7069,0.451,0.9398,0.6955,0.9243,0.6011,0.6728,0.6764,0.8191,0.814
Victor Olofsson 2023,Victor Olofsson,2023,L,27.207,71,181,6.0,63.0,82.0,72,75,2.0972,3.3049,2.9563,2.2225,2.5244,9.5364,3.6982,2.537,2.6247,2.2183,-2.380775,1.7661,2.321,1.8416,1.911,1.8028,0.0,0.6704,0.3729,0.8284,1.4224,1.1296,0.8287,0.7778,0.9384,1.2634
Frank Vatrano 2022,Frank Vatrano,2022,R,27.552,71,197,41.0,81.0,81.0,82,71,0.7061,1.6529,1.4577,1.5899,0.8124,0.0,0.8963,1.193,1.3478,1.0402,0.180925,0.9,1.5928,1.6973,1.1937,1.3313,1.0125,1.2553,0.8549,1.2596,1.1668,0.9405,1.1306,0.8662,1.2081,1.0455
Frank Vatrano 2023,Frank Vatrano,2023,R,28.551,71,197,81.0,81.0,82.0,71,81,1.6529,1.4577,1.5899,0.8124,1.6179,0.8963,1.193,1.3478,1.0402,2.2892,1.169875,1.5928,1.6973,1.1937,1.3313,2.663,1.2553,0.8549,1.2596,1.1668,0.8918,1.1306,0.8662,1.2081,1.0455,0.9327
Kyle Connor 2021,Kyle Connor,2021,L,23.812,74,179,20.0,76.0,82.0,83,82,1.425,2.6647,3.4825,3.2822,3.0476,0.0,2.0739,2.3112,2.3173,3.5156,1.84,2.7399,2.0479,2.8221,3.1043,2.5639,0.5558,1.3313,1.0693,1.4197,1.1058,0.5766,1.1067,1.0425,1.1616,0.9733
Kyle Connor 2022,Kyle Connor,2022,L,24.811,74,179,76.0,82.0,83.0,82,79,2.6647,3.4825,3.2822,3.0476,3.3797,2.0739,2.3112,2.3173,3.5156,1.7978,-0.7566999999999999,2.0479,2.8221,3.1043,2.5639,2.3838,1.3313,1.0693,1.4197,1.1058,1.6137,1.1067,1.0425,1.1616,0.9733,1.2206
Kyle Connor 2023,Kyle Connor,2023,L,25.81,74,179,82.0,83.0,82.0,79,82,3.4825,3.2822,3.0476,3.3797,3.6809,2.3112,2.3173,3.5156,1.7978,1.5903,-0.895175,2.8221,3.1043,2.5639,2.3838,2.2747,1.0693,1.4197,1.1058,1.6137,1.0245,1.0425,1.1616,0.9733,1.2206,1.1397
Colin White 2022,Colin White,2022,C,24.669,73,194,21.0,71.0,71.0,65,24,0.6579,2.1195,2.1986,1.5511,2.6375,0.0,1.9936,0.4474,1.7192,1.8957,0.85565,1.7248,1.9588,0.8923,1.0687,2.3652,0.4518,0.5493,0.4392,0.8142,0.1973,0.3472,0.5845,0.4632,0.732,0.5451
Pavel Zacha 2020,Pavel Zacha,2020,C,22.487,76,199,1.0,70.0,69.0,61,76,4.2333,1.8452,1.3068,1.7077,1.6277,0.0,2.3226,1.3309,2.304,1.7013,0.21192500000000014,3.2459,0.9202,1.9355,1.4181,1.1624,0.0,0.2188,0.3619,0.5647,0.222,0.8221,0.4961,0.717,0.6337,0.4424
Pavel Zacha 2021,Pavel Zacha,2021,C,23.489,76,199,70.0,69.0,61.0,76,73,1.8452,1.3068,1.7077,1.6277,2.6647,2.3226,1.3309,2.304,1.7013,2.2517,0.3370000000000002,0.9202,1.9355,1.4181,1.1624,1.5728,0.2188,0.3619,0.5647,0.222,1.1011,0.4961,0.717,0.6337,0.4424,0.7408
Pavel Zacha 2022,Pavel Zacha,2022,C,24.488,76,199,69.0,61.0,76.0,73,70,1.3068,1.7077,1.6277,2.6647,2.1679,1.3309,2.304,1.7013,2.2517,1.5815,-0.31547499999999995,1.9355,1.4181,1.1624,1.5728,1.7703,0.3619,0.5647,0.222,1.1011,0.6616,0.717,0.6337,0.4424,0.7408,0.894
Pavel Zacha 2023,Pavel Zacha,2023,C,25.487,76,199,61.0,76.0,73.0,70,82,1.7077,1.6277,2.6647,2.1679,1.7047,2.304,1.7013,2.2517,1.5815,1.2877,-0.6719249999999999,1.4181,1.1624,1.5728,1.7703,1.8088,0.5647,0.222,1.1011,0.6616,1.0081,0.6337,0.4424,0.7408,0.894,0.7285
Connor McDavid 2019,Connor McDavid,2019,C,21.714,73,193,,45.0,82.0,82,78,,2.9704,3.0272,2.9636,3.4269,,1.3466,0.7251,1.2345,2.0202,0.9181333333333335,,1.6536,1.0795,1.3923,2.3108,,1.1475,1.0579,1.4648,1.2698,,1.0913,1.3651,1.4636,1.1587
Connor McDavid 2020,Connor McDavid,2020,C,22.714,73,193,45.0,82.0,82.0,78,75,2.9704,3.0272,2.9636,3.4269,3.8885,1.3466,0.7251,1.2345,2.0202,2.652,1.3204000000000002,1.6536,1.0795,1.3923,2.3108,1.8159,1.1475,1.0579,1.4648,1.2698,1.2221,1.0913,1.3651,1.4636,1.1587,1.0994
Connor McDavid 2021,Connor McDavid,2021,C,23.716,73,193,82.0,82.0,78.0,75,82,3.0272,2.9636,3.4269,3.8885,4.1756,0.7251,1.2345,2.0202,2.652,2.3093,0.6513499999999999,1.0795,1.3923,2.3108,1.8159,2.1399,1.0579,1.4648,1.2698,1.2221,1.446,1.3651,1.4636,1.1587,1.0994,1.2572
Connor McDavid 2022,Connor McDavid,2022,C,24.715,73,193,82.0,78.0,75.0,82,80,2.9636,3.4269,3.8885,4.1756,3.7233,1.2345,2.0202,2.652,2.3093,2.0143,-0.039699999999999847,1.3923,2.3108,1.8159,2.1399,2.4549,1.4648,1.2698,1.2221,1.446,1.4088,1.4636,1.1587,1.0994,1.2572,1.63
Connor McDavid 2023,Connor McDavid,2023,C,25.715,73,193,78.0,75.0,82.0,80,82,3.4269,3.8885,4.1756,3.7233,3.9254,2.0202,2.652,2.3093,2.0143,3.9145,1.66555,2.3108,1.8159,2.1399,2.4549,3.6522,1.2698,1.2221,1.446,1.4088,1.6183,1.1587,1.0994,1.2572,1.63,1.3932
Jack Eichel 2019,Jack Eichel,2019,C,21.925,74,207,,81.0,61.0,67,77,,3.0514,2.9828,3.7172,3.5335,,1.942,3.2976,0.7227,1.7642,-0.2232333333333334,,1.2287,2.3732,1.9794,1.5473,,0.7558,0.8247,1.2603,0.9519,,0.8323,0.9461,0.9133,1.1377
Jack Eichel 2020,Jack Eichel,2020,C,22.925,74,207,81.0,61.0,67.0,77,80,3.0514,2.9828,3.7172,3.5335,3.8556,1.942,3.2976,0.7227,1.7642,2.5173,0.5856750000000002,1.2287,2.3732,1.9794,1.5473,1.2215,0.7558,0.8247,1.2603,0.9519,1.1267,0.8323,0.9461,0.9133,1.1377,0.8684
Jack Eichel 2021,Jack Eichel,2021,C,23.927,74,207,61.0,67.0,77.0,80,30,2.9828,3.7172,3.5335,3.8556,3.4373,3.2976,0.7227,1.7642,2.5173,0.8312,-1.24425,2.3732,1.9794,1.5473,1.2215,2.0538,0.8247,1.2603,0.9519,1.1267,0.1686,0.9461,0.9133,1.1377,0.8684,0.6996
Jack Eichel 2022,Jack Eichel,2022,C,24.926,74,207,67.0,77.0,80.0,30,34,3.7172,3.5335,3.8556,3.4373,2.9206,0.7227,1.7642,2.5173,0.8312,1.8127,0.35385,1.9794,1.5473,1.2215,2.0538,2.5004,1.2603,0.9519,1.1267,0.1686,1.1816,0.9133,1.1377,0.8684,0.6996,0.9521
Jack Eichel 2023,Jack Eichel,2023,C,25.925,74,207,77.0,80.0,30.0,34,67,3.5335,3.8556,3.4373,2.9206,2.6498,1.7642,2.5173,0.8312,1.8127,0.6759,-1.05545,1.5473,1.2215,2.0538,2.5004,1.6621,0.9519,1.1267,0.1686,1.1816,1.4236,1.1377,0.8684,0.6996,0.9521,1.0396
Timo Meier 2021,Timo Meier,2021,R,23.981,73,220,34.0,81.0,78.0,82,79,0.2123,1.2772,1.8141,2.1176,1.7278,0.0,1.74,2.5442,0.8095,1.2862,0.01277499999999998,3.1733,4.18,3.3511,1.6721,2.4834,0.4474,0.9975,1.2623,1.1923,0.7866,1.2573,1.0974,1.2417,1.1611,0.9518
Timo Meier 2022,Timo Meier,2022,R,24.981,73,220,81.0,78.0,82.0,79,77,1.2772,1.8141,2.1176,1.7278,2.6556,1.74,2.5442,0.8095,1.2862,3.5211,1.926125,4.18,3.3511,1.6721,2.4834,1.8709,0.9975,1.2623,1.1923,0.7866,1.0965,1.0974,1.2417,1.1611,0.9518,1.3052
Timo Meier 2023,Timo Meier,2023,R,25.98,73,220,78.0,82.0,79.0,77,78,1.8141,2.1176,1.7278,2.6556,2.9137,2.5442,0.8095,1.2862,3.5211,4.4881,2.4478500000000003,3.3511,1.6721,2.4834,1.8709,2.9103,1.2623,1.1923,0.7866,1.0965,1.0819,1.2417,1.1611,0.9518,1.3052,1.4215
Mikko Rantanen 2020,Mikko Rantanen,2020,R,22.922,76,215,9.0,75.0,81.0,74,49,,2.7364,3.734,4.0779,3.4794,,1.1694,2.3806,3.1813,3.2847,1.0409333333333333,,1.1429,1.8608,1.6805,1.8592,0.0,0.838,0.8289,0.7269,1.0208,0.7668,0.7646,0.9387,0.8969,0.8599
Mikko Rantanen 2021,Mikko Rantanen,2021,R,23.924,76,215,75.0,81.0,74.0,49,76,2.7364,3.734,4.0779,3.4794,3.9712,1.1694,2.3806,3.1813,3.2847,2.615,0.11100000000000021,1.1429,1.8608,1.6805,1.8592,3.0727,0.838,0.8289,0.7269,1.0208,1.5244,0.7646,0.9387,0.8969,0.8599,1.3168
Mikko Rantanen 2022,Mikko Rantanen,2022,R,24.923,76,215,81.0,74.0,49.0,76,75,3.734,4.0779,3.4794,3.9712,3.9124,2.3806,3.1813,3.2847,2.615,3.2716,0.4061999999999997,1.8608,1.6805,1.8592,3.0727,2.9301,0.8289,0.7269,1.0208,1.5244,0.9415,0.9387,0.8969,0.8599,1.3168,1.2247
Mikko Rantanen 2023,Mikko Rantanen,2023,R,25.923,76,215,74.0,49.0,76.0,75,82,4.0779,3.4794,3.9712,3.9124,4.161,3.1813,3.2847,2.615,3.2716,2.286,-0.8021499999999997,1.6805,1.8592,3.0727,2.9301,2.5769,0.7269,1.0208,1.5244,0.9415,1.7069,0.8969,0.8599,1.3168,1.2247,1.4631
Travis Konecny 2020,Travis Konecny,2020,R,22.558,70,175,,70.0,81.0,82,77,,1.6869,1.4257,1.622,2.8856,,1.5243,0.5196,1.8045,1.5752,0.2924,,2.0436,1.235,0.9048,1.2303,,0.5543,1.2653,1.0742,1.2542,,0.7192,0.9294,0.8613,0.8112
Travis Konecny 2021,Travis Konecny,2021,R,23.56,70,175,70.0,81.0,82.0,77,73,1.6869,1.4257,1.622,2.8856,2.2753,1.5243,0.5196,1.8045,1.5752,2.1096,0.7537,2.0436,1.235,0.9048,1.2303,1.444,0.5543,1.2653,1.0742,1.2542,0.6174,0.7192,0.9294,0.8613,0.8112,0.7066
Travis Konecny 2022,Travis Konecny,2022,R,24.559,70,175,81.0,82.0,77.0,73,79,1.4257,1.622,2.8856,2.2753,2.7369,0.5196,1.8045,1.5752,2.1096,0.8325,-0.6697249999999999,1.235,0.9048,1.2303,1.444,1.8493,1.2653,1.0742,1.2542,0.6174,0.6721,0.9294,0.8613,0.8112,0.7066,0.8619
Travis Konecny 2023,Travis Konecny,2023,R,25.559,70,175,82.0,77.0,73.0,79,60,1.622,2.8856,2.2753,2.7369,2.9475,1.8045,1.5752,2.1096,0.8325,1.6964,0.11595,0.9048,1.2303,1.444,1.8493,1.9478,1.0742,1.2542,0.6174,0.6721,1.5012,0.8613,0.8112,0.7066,0.8619,1.0707
Dylan Strome 2022,Dylan Strome,2022,C,24.57,75,200,21.0,78.0,68.0,58,69,1.5206,2.9953,2.6043,3.0413,2.6874,1.8789,1.5409,0.7944,1.9729,1.6178,0.0710249999999999,2.6869,1.6422,1.8887,2.0987,1.2,0.7517,0.8199,0.7796,0.608,1.0073,1.0807,0.6066,0.6852,0.6306,0.7053
