,Player,Year,Position,Age,Height,Weight,Y1 GP,Y2 GP,Y3 GP,Y4 GP,Y5 GP,Y1 PK ATOI,Y2 PK ATOI,Y3 PK ATOI,Y4 PK ATOI,Y5 PK ATOI,Y1 PK A1/60,Y2 PK A1/60,Y3 PK A1/60,Y4 PK A1/60,Y5 PK A1/60,Y1 PK A2/60,Y2 PK A2/60,Y3 PK A2/60,Y4 PK A2/60,Y5 PK A2/60
Cal Clutterbuck 2014,Cal Clutterbuck,2014,R,25.871,72,212,74.0,76.0,74.0,71,73,1.5282,1.4502,1.486,1.6468,1.7815,0.0,0.5444,0.0,0.8675,0.4614,0.0,0.0,0.0,0.0,0.0
Cal Clutterbuck 2015,Cal Clutterbuck,2015,R,26.87,72,212,76.0,74.0,71.0,73,76,1.4502,1.486,1.6468,1.7815,1.4469,0.5444,0.0,0.8675,0.4614,0.5456,0.0,0.0,0.0,0.0,0.0
Cal Clutterbuck 2016,Cal Clutterbuck,2016,R,27.869,72,212,74.0,71.0,73.0,76,77,1.486,1.6468,1.7815,1.4469,1.9688,0.0,0.8675,0.4614,0.5456,0.3958,0.0,0.0,0.0,0.0,0.0
Cal Clutterbuck 2017,Cal Clutterbuck,2017,R,28.871,72,212,71.0,73.0,76.0,77,66,1.6468,1.7815,1.4469,1.9688,2.075,0.8675,0.4614,0.5456,0.3958,0.0,0.0,0.0,0.0,0.0,0.0
Cal Clutterbuck 2018,Cal Clutterbuck,2018,R,29.871,72,212,73.0,76.0,77.0,66,76,1.7815,1.4469,1.9688,2.075,2.1143,0.4614,0.5456,0.3958,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cal Clutterbuck 2019,Cal Clutterbuck,2019,R,30.87,72,212,76.0,77.0,66.0,76,73,1.4469,1.9688,2.075,2.1143,1.8329,0.5456,0.3958,0.0,0.0,0.4484,0.0,0.0,0.0,0.0,0.0
Cal Clutterbuck 2020,Cal Clutterbuck,2020,R,31.869,72,212,77.0,66.0,76.0,73,43,1.9688,2.075,2.1143,1.8329,2.2275,0.3958,0.0,0.0,0.4484,0.0,0.0,0.0,0.0,0.0,0.0
Cal Clutterbuck 2021,Cal Clutterbuck,2021,R,32.872,72,212,66.0,76.0,73.0,43,73,2.075,2.1143,1.8329,2.2275,1.741,0.0,0.0,0.4484,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cal Clutterbuck 2022,Cal Clutterbuck,2022,R,33.871,72,212,76.0,73.0,43.0,73,59,2.1143,1.8329,2.2275,1.741,1.9746,0.0,0.4484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cal Clutterbuck 2023,Cal Clutterbuck,2023,R,34.87,72,212,73.0,43.0,73.0,59,49,1.8329,2.2275,1.741,1.9746,1.7058,0.4484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
