,Player,Year,Position,Age,Height,Weight,Y1 GP,Y2 GP,Y3 GP,Y4 GP,Y5 GP,Y1 PP ATOI,Y2 PP ATOI,Y3 PP ATOI,Y4 PP ATOI,Y5 PP ATOI,Y5 dPP ATOI
Sidney Crosby 2018,Sidney Crosby,2018,C,30.153,71,200,80.0,77.0,80.0,75,82,4.2879,3.6359,3.711,3.6142,3.6494,-0.16284999999999972
Sidney Crosby 2019,Sidney Crosby,2019,C,31.152,71,200,77.0,80.0,75.0,82,79,3.6359,3.711,3.6142,3.6494,3.2162,-0.43642499999999984
Sidney Crosby 2020,Sidney Crosby,2020,C,32.151,71,200,80.0,75.0,82.0,79,48,3.711,3.6142,3.6494,3.2162,3.8053,0.25760000000000005
Sidney Crosby 2021,Sidney Crosby,2021,C,33.154,71,200,75.0,82.0,79.0,48,80,3.6142,3.6494,3.2162,3.8053,3.0194,-0.5518749999999999
Sidney Crosby 2022,Sidney Crosby,2022,C,34.153,71,200,82.0,79.0,48.0,80,69,3.6494,3.2162,3.8053,3.0194,3.342,-0.08057500000000006
Sidney Crosby 2023,Sidney Crosby,2023,C,35.152,71,200,79.0,48.0,80.0,69,82,3.2162,3.8053,3.0194,3.342,3.9008,0.555075
Anze Kopitar 2011,Anze Kopitar,2011,C,23.105,75,225,,82.0,82.0,82,75,,4.0567,3.8835,3.8864,3.63,-0.31220000000000026
Anze Kopitar 2012,Anze Kopitar,2012,C,24.105,75,225,82.0,82.0,82.0,75,82,4.0567,3.8835,3.8864,3.63,3.4134,-0.45074999999999976
Anze Kopitar 2013,Anze Kopitar,2013,C,25.107,75,225,82.0,82.0,75.0,82,80,3.8835,3.8864,3.63,3.4134,2.8064,-0.896925
Anze Kopitar 2014,Anze Kopitar,2014,C,26.106,75,225,82.0,75.0,82.0,80,82,3.8864,3.63,3.4134,2.8064,3.4024,-0.031649999999999956
Anze Kopitar 2015,Anze Kopitar,2015,C,27.105,75,225,75.0,82.0,80.0,82,79,3.63,3.4134,2.8064,3.4024,2.8426,-0.47045000000000003
Anze Kopitar 2016,Anze Kopitar,2016,C,28.105,75,225,82.0,80.0,82.0,79,81,3.4134,2.8064,3.4024,2.8426,2.5588,-0.5573999999999999
Anze Kopitar 2017,Anze Kopitar,2017,C,29.107,75,225,80.0,82.0,79.0,81,76,2.8064,3.4024,2.8426,2.5588,3.005,0.10244999999999971
Anze Kopitar 2018,Anze Kopitar,2018,C,30.106,75,225,82.0,79.0,81.0,76,82,3.4024,2.8426,2.5588,3.005,2.8866,-0.06559999999999988
Anze Kopitar 2019,Anze Kopitar,2019,C,31.106,75,225,79.0,81.0,76.0,82,81,2.8426,2.5588,3.005,2.8866,2.8381,0.01485000000000003
Anze Kopitar 2020,Anze Kopitar,2020,C,32.105,75,225,81.0,76.0,82.0,81,82,2.5588,3.005,2.8866,2.8381,2.8879,0.06577500000000036
Anze Kopitar 2021,Anze Kopitar,2021,C,33.107,75,225,76.0,82.0,81.0,82,82,3.005,2.8866,2.8381,2.8879,3.1774,0.27300000000000013
Anze Kopitar 2022,Anze Kopitar,2022,C,34.106,75,225,82.0,81.0,82.0,82,81,2.8866,2.8381,2.8879,3.1774,3.3389,0.3914000000000004
Anze Kopitar 2023,Anze Kopitar,2023,C,35.106,75,225,81.0,82.0,82.0,81,82,2.8381,2.8879,3.1774,3.3389,3.035,-0.025574999999999903
T.J. Oshie 2012,T.J. Oshie,2012,R,24.773,72,187,,57.0,76.0,49,80,,2.4325,2.5289,2.5867,2.4829,-0.03313333333333368
T.J. Oshie 2013,T.J. Oshie,2013,R,25.775,72,187,57.0,76.0,49.0,80,51,2.4325,2.5289,2.5867,2.4829,2.4833,-0.024450000000000305
T.J. Oshie 2014,T.J. Oshie,2014,R,26.774,72,187,76.0,49.0,80.0,51,79,2.5289,2.5867,2.4829,2.4833,2.7386,0.21815000000000007
T.J. Oshie 2015,T.J. Oshie,2015,R,27.774,72,187,49.0,80.0,51.0,79,72,2.5867,2.4829,2.4833,2.7386,2.3424,-0.23047499999999976
T.J. Oshie 2016,T.J. Oshie,2016,R,28.773,72,187,80.0,51.0,79.0,72,80,2.4829,2.4833,2.7386,2.3424,3.034,0.5221999999999998
T.J. Oshie 2017,T.J. Oshie,2017,R,29.775,72,187,51.0,79.0,72.0,80,68,2.4833,2.7386,2.3424,3.034,2.9007,0.25112500000000004
T.J. Oshie 2018,T.J. Oshie,2018,R,30.774,72,187,79.0,72.0,80.0,68,74,2.7386,2.3424,3.034,2.9007,3.3671,0.6131750000000005
T.J. Oshie 2019,T.J. Oshie,2019,R,31.774,72,187,72.0,80.0,68.0,74,69,2.3424,3.034,2.9007,3.3671,3.3597,0.4486500000000002
