,Player,Position,Age,Height,Weight,Projected A1,Projected A2,Projected Assists,StDev,5th Percentile,95th Percentile,90A Probability,80A Probability,70A Probability,60A Probability,50A Probability,40A Probability,30A Probability
677,Ryan Reaves,R,36.7,74,225,2.9938477362019100,2.9640601344487000,5.957907870650610,1.5306221961163500,4.072381408257540,8.972892495887570,0.0,0.0,0.0,0.0,0.0,0.0,0.0
678,Kevin Rooney,C,30.4,74,190,2.9711010490297600,1.6288894630298700,4.599990512059630,1.3809840416100700,2.4442459374582700,6.918950274332870,0.0,0.0,0.0,0.0,0.0,0.0,0.0
679,Aatu Raty,C,20.9,74,190,2.9669401413352900,1.538561950378720,4.505502091714000,1.3263065461586800,2.255116947005360,6.6006649239548000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
680,William Bitten,C,25.2,71,180,2.9654360074104400,0.8817636372538870,3.8471996446643200,1.7095355117096200,1.625132438686720,7.0229158708685200,0.0,0.0,0.0,0.0,0.0,0.0,0.0
681,Justin Braun,D,36.6,74,205,2.967770720181840,2.9950505646381400,5.962821284819980,1.4809366665463100,4.103341909290280,8.884244804146350,0.0,0.0,0.0,0.0,0.0,0.0,0.0
682,Simon Holmstrom,R,22.4,74,205,2.97522224844018,2.7517855836347800,5.727007832074960,1.3209145056194400,3.8335561540265600,8.214299401832210,0.0,0.0,0.0,0.0,0.0,0.0,0.0
683,Zack Kassian,R,32.7,75,211,2.9631044299857300,2.2750745097895700,5.238178939775300,1.0083451669331300,3.6248277537772800,6.987571762263650,0.0,0.0,0.0,0.0,0.0,0.0,0.0
684,Jeremy Lauzon,D,26.4,73,204,2.9690438140269100,4.547383593776090,7.516427407803000,1.4918509262390100,5.047513592301890,10.007967618646300,0.0,0.0,0.0,0.0,0.0,0.0,0.0
685,Elliot Desnoyers,L,21.7,71,183,2.976964934952500,1.878258551819210,4.855223486771710,1.2999603571269100,2.867878147203090,7.122804371722040,0.0,0.0,0.0,0.0,0.0,0.0,0.0
686,Mikael Pyyhtia,L,21.8,72,166,2.9798292943773100,2.0986318730428900,5.078461167420210,1.395444428570820,2.424490412561530,6.996872386867880,0.0,0.0,0.0,0.0,0.0,0.0,0.0
687,Matt Kiersted,D,25.5,72,181,2.9949982458448000,2.734156202872290,5.729154448717090,1.7937660601626100,3.094194620769170,8.864658674941810,0.0,0.0,0.0,0.0,0.0,0.0,0.0
688,Jack Studnicka,C,24.6,73,187,3.0101795218104900,2.7732183287524800,5.783397850562970,3.25665820418874,3.6236366267274800,8.92595694462274,0.0,0.0,0.001,0.001,0.002,0.002,0.003
