,Player,Projected Goals,Projected A1,Projected A2,Projected Assists,Projected Points,StDev,5th Percentile,95th Percentile,150P Probability,140P Probability,130P Probability,120P Probability,110P Probability,100P Probability,90P Probability,80P Probability,70P Probability,60P Probability,50P Probability,40P Probability,30P Probability
532,Simon Holmstrom,5.062338875897830,2.97522224844018,2.7517855836347800,5.727007832074960,10.789346707972800,2.54245914329525,7.0637037006313700,15.33543297269040,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
533,Jakub Lauko,5.033490204113500,3.722830405627080,1.6081563039712500,5.3309867095983200,10.364476913711800,3.2468071856179300,5.44883669641088,16.072808430693700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
534,Kyle Criscuolo,4.99395262199378,1.0809626075219800,0.7402615274954800,1.821224135017460,6.815176757011240,4.329588792672380,1.9538181418031400,13.943198020067500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.005
535,Jack Drury,4.942557804169160,3.7664296824431000,2.765991657812680,6.53242134025578,11.474979144424900,2.82286668397822,7.018677303113750,16.03281394949670,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
536,Nikita Nesterenko,4.901767319530710,3.067631962444100,1.979257176472650,5.046889138916750,9.94865645844746,2.7590703516651400,5.65833755245264,14.665443033375500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
537,Axel Jonsson-Fjallby,4.86610458062028,3.302370668377490,2.7478279305966200,6.0501985989741200,10.916303179594400,2.6214802178499400,6.897382459192610,15.437206591464300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
538,Lukas Rousek,4.832464644188490,1.434266920679330,3.483394500316810,4.917661420996140,9.750126065184620,4.143372328444300,3.9599425366605100,17.27817465632840,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
539,Trevor Lewis,4.78210352251241,5.262006277078300,3.435029557462380,8.697035834540680,13.47913935705310,2.3370719077598700,9.985618838078830,17.540007051546600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
540,Phillip Di Giuseppe,4.74851512140849,3.2908660094444900,2.7577983425292500,6.048664351973740,10.797179473382200,3.028509016674690,6.275166054183840,16.329300170341100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
541,Jonas Brodin,4.7180495506088600,8.504339675544470,10.65894054667630,19.16328022222070,23.88132977282960,2.465589075036810,19.612758273331000,27.507327727596400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006
542,Tyler Pitlick,4.694481898082390,3.7146363635904700,2.735140236255900,6.449776599846360,11.14425849792880,8.875631274393120,9.38354051074793,32.78410107166110,0.0,0.001,0.001,0.001,0.001,0.001,0.001,0.003,0.003,0.004,0.008,0.021,0.063
543,Kiefer Sherwood,4.661607236601280,3.394953511224810,2.1920367014836500,5.586990212708460,10.248597449309700,2.5813423212095900,5.917133738133730,14.256244640157300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
544,Brad Hunt,4.647607914954960,4.716856369819650,5.132851501506060,9.849707871325710,14.49731578628070,3.486208842977370,9.660420715365340,20.155362064785400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.001
545,Kevin Stenlund,4.601286895188070,1.80238843485596,1.6905620165000200,3.4929504513559800,8.094237346544050,2.0851125986282800,4.66902948724326,11.528279909659700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
546,Nick Foligno,4.582959377403460,6.1553821986372200,3.9759860719436300,10.131368270580800,14.714327647984300,4.092109260790750,9.669036762522430,22.787599979080700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002
547,Dryden Hunt,4.554086865807400,3.034874028630690,2.1247169135978900,5.159590942228590,9.713677808035980,2.1351642820669200,6.540778566429340,13.401024920685800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
548,Saku Maenalanen,4.5347937862039700,2.7224510209415900,2.153674220732860,4.876125241674440,9.410919027878410,1.8772709296324100,6.606319554909000,12.686883957916900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
549,Vitali Kravtsov,4.535396296178850,3.0650801865755900,2.7762766304290300,5.841356817004620,10.376753113183500,2.398596788397430,6.403580428672870,14.121840689251500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
550,Kieffer Bellows,4.543874244070920,2.777121195942560,1.7017308962998200,4.478852092242370,9.022726336313300,2.3598023699006700,5.225723227010490,12.953130419871500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
551,Lane Pederson,4.540660098704930,3.7699512286216500,2.1325847692342600,5.902535997855910,10.443196096560800,2.745029730208750,6.278588956310780,15.247535227765000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
552,Johnathan Kovacevic,4.535250484363190,6.062572214523920,6.615355821970600,12.677928036494500,17.213178520857700,2.13119456875738,13.831334276341600,20.58979413509380,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
553,Jakob Pelletier,4.5278846692236300,3.6871163229928800,2.6779199566904100,6.3650362796832800,10.892920948906900,2.7202220791152000,6.221730449846080,15.065372753949700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
554,Sam Carrick,4.501139898348800,3.325933380833530,2.773571541238870,6.0995049220724,10.600644820421200,4.9164377257691,7.604087807821070,18.708317924808000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.003,0.006,0.013
555,Dylan Holloway,4.476142497463490,3.5159783368506100,2.973524179287370,6.489502516137980,10.965645013601500,2.3253408128394100,7.187643864421470,14.72106927585410,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
556,Nils Lundkvist,4.4570069215768100,6.089089499624140,6.224824907872290,12.31391440749640,16.77092132907320,2.8134384828604800,11.385968643618900,20.429212365293500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001
557,Nate Schmidt,4.454248556298620,8.270164650236060,8.10770547460523,16.377870124841300,20.832118681139900,2.6373273567988800,15.899049026557800,24.64242518921700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
558,Jack Studnicka,4.44455284661273,3.0101795218104900,2.7732183287524800,5.783397850562970,10.227950697175700,3.819434776253750,6.484219467170740,15.07172324806740,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.002,0.003,0.004
559,Pierre-Edouard Bellemare,4.44096834334592,3.649851216705800,2.7390024359892900,6.3888536526950900,10.829821996041000,2.469833328123360,7.21365233461442,15.2458206034162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
560,Andrew Peeke,4.411144934711040,5.340533820583560,7.3673031247975500,12.707836945381100,17.11898188009220,1.5596358601733900,14.219547230320900,19.236800442496900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
561,Aleksi Heponiemi,4.402961006463970,3.333098233802710,2.81345013376673,6.146548367569440,10.54950937403340,34.519279629253800,5.554573887325680,78.48029094630380,0.012,0.015,0.02,0.024,0.03,0.031,0.041,0.049,0.062,0.076,0.087,0.115,0.154
562,Colin Miller,4.402627763191640,6.904186598332690,7.96846860166885,14.872655200001500,19.275282963193200,3.018619941458510,17.31551252520940,26.355749646117300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.013
563,Josh Mahura,4.371574941990830,7.849498448244590,6.199633624903080,14.04913207314770,18.42070701513850,2.196983697480020,15.059643752392800,22.273092720434300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
564,A.J. Greer,4.361820410171810,3.148407055886910,2.2189889922039900,5.367396048090900,9.729216458262710,2.5242816336216900,5.9400548909220400,14.33096571746460,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
565,Ben Meyers,4.359544886315790,1.81973425379003,1.2982063753922200,3.117940629182250,7.4774855154980400,2.184351716405790,4.283060862408400,11.515608729095200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
566,Patrick Brown,4.370857219493570,5.079558812775850,2.7999303097688300,7.8794891225446700,12.250346342038200,5.925772188634400,8.690735514727470,21.010680783612800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.008,0.012,0.021
567,Marco Kasper,4.3788850745279400,3.3456932088284300,2.7458829455233200,6.091576154351740,10.470461228879700,8.330466841643610,6.096062808805820,31.419098439898300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007,0.069
568,Cam York,4.372298841466480,8.725354791233850,9.081823972092400,17.80717876332630,22.179477604792700,4.109438017601100,14.517810060636000,27.09621542763330,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.002,0.016
569,Justin Schultz,4.350617654725140,10.144493457093600,8.911390824649020,19.05588428174260,23.406501936467800,4.735537023815490,20.649885488838600,34.079719933895600,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.001,0.001,0.001,0.009,0.214
570,Aatu Raty,4.346736630610150,2.9669401413352900,1.538561950378720,4.505502091714000,8.852238722324160,2.7870529402124200,4.314244984871710,13.577219512208300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
571,Reese Johnson,4.3388934377201500,2.816903998653900,1.7051801144685400,4.522084113122450,8.860977550842600,2.1343765537796400,5.371448308924320,12.303369705246200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
572,Nicolas Hague,4.310876607967900,8.773828213790400,8.351880704001180,17.125708917791600,21.43658552575950,2.26649226022752,17.967372929281900,25.2143591984405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001
573,Alexander Holtz,4.292730021131810,4.007186445152700,2.189655424028060,6.196841869180760,10.489571890312600,2.5394939560889600,5.969909302872530,14.281836954140200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
574,Joseph Cramarossa,4.274474036242190,2.225537098228410,1.2078336167953800,3.433370715023790,7.707844751265980,3.288864525244430,3.0904572746623300,13.571728674082300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
575,Ty Smith,4.250146596128230,5.114385303711540,5.3573979483239800,10.471783252035500,14.72192984816380,3.3998222517637800,8.246870159863170,19.367217647565500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
576,Connor Murphy,4.224826189431160,5.719965643796700,5.918392908670430,11.638358552467100,15.863184741898300,1.9961013646078600,11.910909538222800,18.574187540269900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
577,Austin Czarnik,4.168591822510820,3.4638991458387100,1.6548635654896000,5.1187627113283200,9.287354533839140,2.4177491471031900,5.613931672820150,13.44628296804120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
578,Mario Ferraro,4.129054068568920,6.004361092786660,9.276841767277210,15.281202860063900,19.41025692863280,2.840141072486520,16.08549716397550,25.047536581879400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008
579,John Marino,4.105072074253050,10.632801029543500,8.910203793105040,19.543004822648500,23.648076896901600,2.4562815484836600,19.969898625451900,27.89882595654650,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004
580,Trey Fix-Wolansky,4.082564649336470,2.8635379123161500,1.6801704178953300,4.5437083302114800,8.626272979547950,2.613210279610100,4.72645316466191,13.335079797400900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
581,Michael McCarron,4.060943446710120,3.0234100865721300,2.1951120973958700,5.218522183968000,9.279465630678120,2.047882251108780,5.970790969749220,12.726939829619400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
582,Mikael Pyyhtia,4.030446629425070,2.9798292943773100,2.0986318730428900,5.078461167420210,9.108907796845280,2.5278501083574100,4.583144043178110,12.739751120589400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
583,Ondrej Kase,4.003997733613810,3.0235358519551600,2.167616104516770,5.191151956471930,9.195149690085750,3.0712601843330600,4.4568210145466800,14.595742078670000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
584,Marco Rossi,4.0056525824582700,4.4297167193757,2.7788241684399700,7.2085408878156700,11.214193470273900,2.5396895328428800,6.474031596942050,14.974601711916900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
585,Matej Blumel,3.9675015031805900,1.8770196383427900,1.2586675314074300,3.135687169750220,7.103188672930810,2.7140351016584100,3.81543687254874,12.641962523998000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
586,Jakub Voracek,3.942646117342090,10.191441675931800,7.947115910480540,18.138557586412400,22.081203703754500,6.3963499069815600,12.744240807544000,32.66648513318580,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.011,0.097
587,Sean Walker,3.9540061971862500,5.993845428659560,6.153797023397210,12.147642452056800,16.101648649243000,3.9276796863272500,13.83847663111340,25.835509446806900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.017
588,Artem Zub,3.919577357907120,5.984444949344660,8.102401475578320,14.086846424923000,18.00642378283010,2.235162751602940,14.224277100860200,21.686808976333200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
589,Alexander Romanov,3.9245157532776800,10.07240297847620,10.686442412753000,20.758845391229300,24.683361144506900,1.929637629949700,21.426447402219000,27.741931982659600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012
590,Martin Kaut,3.9253208663135400,3.0626580234925200,2.765694864486250,5.828352887978760,9.7536737542923,2.447167408093470,5.760994189704920,13.646496410058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
591,Caleb Jones,3.901166340306870,6.899029495833980,7.087361752736610,13.986391248570600,17.887557588877500,2.727241452142450,14.446315798109200,22.94552339292970,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.003
592,Nick Blankenburg,3.8936009422965500,5.214604750587210,4.320449082128120,9.53505383271532,13.428654775011900,3.1230755959480200,8.107004809907260,18.313050254712400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
593,Dylan Gambrell,3.8810724694313700,3.0461394817313100,2.718041075552420,5.764180557283720,9.645253026715090,2.1141965389275700,6.056176481698310,12.84578305137490,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
